"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Power Rangers","j4","Disruptor","187","0.39","5531","79","947","886","160","204","0","2958","0","151","0","0","0","54","0","0","100"
"Power Rangers","barash","Windranger","330","0.70","9760","3962","900","408","160","852","0","2958","0","437","0","0","0","100","0","0","0"
"Power Rangers","Bignum","Winter Wyvern","254","0.54","7513","1747","801","1280","160","0","0","2958","0","598","0","0","0","0","0","0","0"
"Power Rangers","chshrct","Tusk","250","0.53","7394","2612","629","453","160","31","0","2836","0","567","0","0","0","0","0","0","0"
"Power Rangers","TpoH 2","Juggernaut","384","0.81","11358","5137","902","300","328","1128","221","2958","0","311","0","0","0","94","0","0","0"
"Alliance","s4","Queen of Pain","616","1.30","18219","5246","3233","832","1773","1783","0","2958","400","0","1150","0","0","872","0","0","0"
"Alliance","Akke","Dazzle","314","0.66","9287","580","585","1372","1560","800","0","2958","400","0","1000","0","0","0","0","0","50"
"Alliance","Loda","Gyrocopter","680","1.43","20112","5973","3029","507","2215","1833","1194","2958","716","270","1103","0","0","224","0","0","100"
"Alliance","Mynuts","Slardar","338","0.71","9997","929","869","1906","1800","161","0","2958","400","0","1000","0","0","0","0","0","0"
"Alliance","AdmiralBulldog","Broodmother","440","0.93","13014","2762","686","321","1800","2283","235","2958","675","0","1107","0","0","98","0","0","100"
