"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"EG","ppd","Winter Wyvern","385","0.82","10802","2496","1672","1388","1080","46","0","2806","400","0","0","0","0","0","0","0","150"
"EG","Sumail","Doom","654","1.39","18349","3987","1807","1027","1252","1865","0","2806","400","0","0","1900","0","0","0","2550","0"
"EG","Universe","Tusk","433","0.92","12148","4233","1154","1180","1080","150","0","2806","400","0","0","0","0","385","0","0","0"
"EG","Fear","Lich","324","0.69","9090","860","942","1594","1547","194","0","2806","400","0","0","0","0","0","0","0","0"
"EG","Arteezy","Templar Assassin","649","1.38","18208","6275","3026","590","1475","1140","1699","2806","968","0","0","0","0","198","0","0","50"
"OG","Simbaaa","Treant Protector","142","0.30","3984","553","0","191","400","0","0","2806","0","0","0","0","0","0","0","0","50"
"OG","Cr1t","Rubick","212","0.45","5948","2532","215","0","400","0","0","2806","0","0","0","0","0","0","0","0","0"
"OG","Miracle 2","Shadow Fiend","373","0.79","10465","4396","0","0","400","2692","0","2771","0","0","0","0","0","189","0","0","0"
"OG","MoonMeander","Dark Seer","314","0.67","8810","3523","304","0","400","1797","0","2780","0","0","0","0","0","0","0","0","0"
"OG","N0tail","Phantom Lancer","375","0.80","10521","5026","0","313","610","972","464","2806","0","0","0","0","0","352","0","0","0"
