"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"OG","Simbaaa","Undying","255","0.49","11443","2436","0","835","1560","195","0","4487","400","154","1000","380","0","0","0","0","0"
"OG","Cr1t","Tusk","339","0.66","15212","3719","3019","348","1560","89","0","4487","400","521","1000","0","0","0","0","0","100"
"OG","Miracle 2","Alchemist","792","1.53","35540","8999","1880","702","2198","1358","1320","4487","580","1039","1145","0","0","6525","0","5331","50"
"OG","MoonMeander","Earthshaker","330","0.64","14808","3089","1182","1265","1560","1673","0","4487","400","158","1000","0","0","0","0","0","50"
"OG","N0tail","Gyrocopter","504","0.97","22616","9983","1065","180","2403","686","833","4487","788","964","1264","0","0","0","0","0","0"
"EG","ppd","Winter Wyvern","214","0.41","9603","1697","1191","654","1000","194","0","4487","0","194","0","0","0","0","175","0","50"
"EG","Sumail","Magnus","310","0.60","13911","4344","376","1507","1000","1721","0","4487","0","0","0","0","0","356","175","0","0"
"EG","Universe","Queen of Pain","393","0.76","17635","8084","1958","242","1181","1267","0","4487","0","0","0","0","0","296","175","0","0"
"EG","Fear","Beastmaster","272","0.53","12206","3878","372","1325","1187","625","0","4487","0","48","0","0","0","0","175","0","150"
"EG","Arteezy","Anti Mage","657","1.27","29482","11814","1886","672","1448","4208","4214","4463","0","362","0","0","0","264","175","0","0"
