"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Secret","Puppey","Dazzle","362","0.77","10378","1821","637","1003","1840","113","0","2867","716","187","1000","0","0","153","0","0","50"
"Secret","MiSeRY","Doom","497","1.06","14248","3709","424","1100","2031","553","0","2867","400","191","1000","0","0","0","0","1950","50"
"Secret","Eternal Envy","Huskar","593","1.26","17000","4547","3464","60","2841","485","218","2867","558","414","1250","0","0","319","0","0","0"
"Secret","w33","Meepo","632","1.34","18118","5304","1544","794","2198","2407","232","2867","400","863","1126","0","0","412","0","0","0"
"Secret","PieLieDie","Tiny","341","0.72","9776","1610","382","776","1840","445","0","2867","400","288","1124","0","0","58","0","0","0"
"VG","Super","Alchemist","526","1.12","15079","4140","436","484","160","2260","0","2766","0","0","0","0","0","500","0","4127","0"
"VG","Fenrir","Undying","211","0.45","6049","578","776","1346","160","0","0","2867","0","11","0","0","0","54","0","0","50"
"VG","iceiceice","Beastmaster","298","0.63","8543","3447","512","1148","343","0","0","2867","0","11","0","0","0","0","0","0","100"
"VG","BurNIng","Queen of Pain","361","0.77","10349","4211","2272","377","160","379","0","2867","0","0","0","0","0","102","0","0","0"
"VG","fy","Earthshaker","278","0.59","7970","2076","688","1582","160","476","0","2867","0","0","0","0","0","0","0","0","0"
